"시군구명","시간대","분류","매출건수(건)","매출합계(원)","집계시작일","집계종료일"
"창원시 의창구","12","교육","8951 ","906387491 ","20240101","20241231"
"창원시 의창구","12","기타","8780 ","520229575 ","20240101","20241231"
"창원시 의창구","12","내구재","6319 ","111408129 ","20240101","20241231"
"창원시 의창구","12","레포츠/문화/취미","75380 ","3286274263 ","20240101","20241231"
"창원시 의창구","12","서비스","29815 ","535285538 ","20240101","20241231"
"창원시 의창구","12","식생활","2336929 ","47458662461 ","20240101","20241231"
"창원시 의창구","12","여행","3084 ","96307060 ","20240101","20241231"
"창원시 의창구","12","유통","1168849 ","17428947690 ","20240101","20241231"
"창원시 의창구","12","유흥","1268 ","6850583 ","20240101","20241231"
"창원시 의창구","12","의료/미용","546779 ","32752447848 ","20240101","20241231"
"창원시 의창구","12","의생활","4222 ","259656066 ","20240101","20241231"
"창원시 의창구","12","자동차","193160 ","12202619088 ","20240101","20241231"
"창원시 의창구","12","주거생활","14750 ","978071638 ","20240101","20241231"
"창원시 의창구","13","교육","11172 ","1109914016 ","20240101","20241231"
"창원시 의창구","13","기타","12200 ","1196712029 ","20240101","20241231"
"창원시 의창구","13","내구재","10233 ","513178759 ","20240101","20241231"
"창원시 의창구","13","레포츠/문화/취미","83886 ","2511601645 ","20240101","20241231"
"창원시 의창구","13","서비스","25511 ","956560171 ","20240101","20241231"
"창원시 의창구","13","식생활","1702584 ","35774985106 ","20240101","20241231"
"창원시 의창구","13","여행","3708 ","117848526 ","20240101","20241231"
"창원시 의창구","13","유통","1033352 ","17882213735 ","20240101","20241231"
"창원시 의창구","13","유흥","1316 ","5396847 ","20240101","20241231"
"창원시 의창구","13","의료/미용","226950 ","15879066635 ","20240101","20241231"
"창원시 의창구","13","의생활","6265 ","402167581 ","20240101","20241231"
"창원시 의창구","13","자동차","211816 ","12755098300 ","20240101","20241231"
"창원시 의창구","13","주거생활","22111 ","2018142248 ","20240101","20241231"
"창원시 의창구","14","교육","16998 ","1996486498 ","20240101","20241231"
"창원시 의창구","14","기타","14270 ","1263861686 ","20240101","20241231"
"창원시 의창구","14","내구재","8410 ","519733831 ","20240101","20241231"
"창원시 의창구","14","레포츠/문화/취미","93523 ","2128020692 ","20240101","20241231"
"창원시 의창구","14","서비스","28047 ","1047058794 ","20240101","20241231"
"창원시 의창구","14","식생활","1139376 ","22585044284 ","20240101","20241231"
"창원시 의창구","14","여행","4297 ","181174092 ","20240101","20241231"
"창원시 의창구","14","유통","1040651 ","19008512995 ","20240101","20241231"
"창원시 의창구","14","유흥","2234 ","9333105 ","20240101","20241231"
"창원시 의창구","14","의료/미용","530452 ","26525982193 ","20240101","20241231"
"창원시 의창구","14","의생활","7382 ","562600336 ","20240101","20241231"
"창원시 의창구","14","자동차","217265 ","14372105593 ","20240101","20241231"
"창원시 의창구","14","주거생활","24859 ","2128023475 ","20240101","20241231"
"창원시 의창구","15","교육","21350 ","2318509596 ","20240101","20241231"
"창원시 의창구","15","기타","14339 ","1116425360 ","20240101","20241231"
"창원시 의창구","15","내구재","7498 ","424095175 ","20240101","20241231"
"창원시 의창구","15","레포츠/문화/취미","99630 ","2265636813 ","20240101","20241231"
"창원시 의창구","15","서비스","28739 ","1059872001 ","20240101","20241231"
"창원시 의창구","15","식생활","900363 ","15919540336 ","20240101","20241231"
"창원시 의창구","15","여행","3221 ","131937629 ","20240101","20241231"
"창원시 의창구","15","유통","1123756 ","21365121864 ","20240101","20241231"
"창원시 의창구","15","유흥","3016 ","21427690 ","20240101","20241231"
"창원시 의창구","15","의료/미용","584709 ","28324159068 ","20240101","20241231"
"창원시 의창구","15","의생활","8485 ","715249596 ","20240101","20241231"
"창원시 의창구","15","자동차","236484 ","15374123153 ","20240101","20241231"
"창원시 의창구","15","주거생활","20692 ","2042933701 ","20240101","20241231"
"창원시 의창구","16","교육","22865 ","2626044277 ","20240101","20241231"
"창원시 의창구","16","기타","17087 ","904735607 ","20240101","20241231"
"창원시 의창구","16","내구재","7581 ","444883756 ","20240101","20241231"
"창원시 의창구","16","레포츠/문화/취미","111837 ","3465258766 ","20240101","20241231"
"창원시 의창구","16","서비스","28691 ","977662522 ","20240101","20241231"
"창원시 의창구","16","식생활","849287 ","14474419219 ","20240101","20241231"
"창원시 의창구","16","여행","4695 ","298766278 ","20240101","20241231"
"창원시 의창구","16","유통","1243879 ","22174047567 ","20240101","20241231"
"창원시 의창구","16","유흥","3646 ","24862920 ","20240101","20241231"
"창원시 의창구","16","의료/미용","585860 ","26614331645 ","20240101","20241231"
"창원시 의창구","16","의생활","8067 ","568657471 ","20240101","20241231"
"창원시 의창구","16","자동차","246292 ","15968441028 ","20240101","20241231"
"창원시 의창구","16","주거생활","17217 ","1349766532 ","20240101","20241231"
"창원시 의창구","17","교육","21494 ","2670856991 ","20240101","20241231"
"창원시 의창구","17","기타","16936 ","590967656 ","20240101","20241231"
"창원시 의창구","17","내구재","5709 ","137765024 ","20240101","20241231"
"창원시 의창구","17","레포츠/문화/취미","122742 ","4609224798 ","20240101","20241231"
"창원시 의창구","17","서비스","26991 ","719454935 ","20240101","20241231"
"창원시 의창구","17","식생활","1026470 ","21016969815 ","20240101","20241231"
"창원시 의창구","17","여행","8348 ","659659082 ","20240101","20241231"
"창원시 의창구","17","유통","1404702 ","23409072221 ","20240101","20241231"
"창원시 의창구","17","유흥","4243 ","26027416 ","20240101","20241231"
"창원시 의창구","17","의료/미용","513920 ","19044284421 ","20240101","20241231"
"창원시 의창구","17","의생활","7512 ","494470939 ","20240101","20241231"
"창원시 의창구","17","자동차","248396 ","15096691549 ","20240101","20241231"
"창원시 의창구","17","주거생활","6902 ","593706148 ","20240101","20241231"
"창원시 의창구","18","교육","20391 ","2787498657 ","20240101","20241231"
"창원시 의창구","18","기타","15977 ","363945374 ","20240101","20241231"
"창원시 의창구","18","내구재","3105 ","87726456 ","20240101","20241231"
"창원시 의창구","18","레포츠/문화/취미","122406 ","4069673900 ","20240101","20241231"
"창원시 의창구","18","서비스","18705 ","413198047 ","20240101","20241231"
"창원시 의창구","18","식생활","1351967 ","36059696621 ","20240101","20241231"
"창원시 의창구","18","여행","7629 ","576141028 ","20240101","20241231"
"창원시 의창구","18","유통","1442166 ","21315071227 ","20240101","20241231"
"창원시 의창구","18","유흥","6909 ","72824537 ","20240101","20241231"
"창원시 의창구","18","의료/미용","284154 ","9266213434 ","20240101","20241231"
"창원시 의창구","18","의생활","5963 ","339996710 ","20240101","20241231"
"창원시 의창구","18","자동차","208314 ","11142736875 ","20240101","20241231"
"창원시 의창구","18","주거생활","377 ","17092865 ","20240101","20241231"
"창원시 의창구","19","교육","12728 ","1825309431 ","20240101","20241231"
"창원시 의창구","19","기타","10679 ","147015415 ","20240101","20241231"
"창원시 의창구","19","내구재","4722 ","21322961 ","20240101","20241231"
"창원시 의창구","19","레포츠/문화/취미","114510 ","2900502783 ","20240101","20241231"
"창원시 의창구","19","서비스","14510 ","226101199 ","20240101","20241231"
"창원시 의창구","19","식생활","1376950 ","49944961426 ","20240101","20241231"
"창원시 의창구","19","여행","4366 ","257610966 ","20240101","20241231"
"창원시 의창구","19","유통","1255079 ","17662398999 ","20240101","20241231"
"창원시 의창구","19","유흥","12090 ","220651131 ","20240101","20241231"
"창원시 의창구","19","의료/미용","137382 ","4891818766 ","20240101","20241231"
"창원시 의창구","19","의생활","3338 ","246658053 ","20240101","20241231"
"창원시 의창구","19","자동차","148033 ","6903950404 ","20240101","20241231"
"창원시 의창구","19","주거생활","21 ","92529 ","20240101","20241231"
"창원시 의창구","20","교육","5826 ","1006008807 ","20240101","20241231"
"창원시 의창구","20","기타","9020 ","136714668 ","20240101","20241231"
"창원시 의창구","20","내구재","3427 ","9666827 ","20240101","20241231"
"창원시 의창구","20","레포츠/문화/취미","106319 ","1633649596 ","20240101","20241231"
"창원시 의창구","20","서비스","12385 ","167506923 ","20240101","20241231"
"창원시 의창구","20","식생활","1021734 ","42989552728 ","20240101","20241231"
"창원시 의창구","20","여행","2728 ","151918643 ","20240101","20241231"
"창원시 의창구","20","유통","1162111 ","15382597841 ","20240101","20241231"
"창원시 의창구","20","유흥","20898 ","652089788 ","20240101","20241231"
"창원시 의창구","20","의료/미용","71151 ","2508952502 ","20240101","20241231"
"창원시 의창구","20","의생활","644 ","49266552 ","20240101","20241231"
"창원시 의창구","20","자동차","120603 ","5298568561 ","20240101","20241231"
"창원시 의창구","21","교육","2707 ","516989171 ","20240101","20241231"
"창원시 의창구","21","기타","6059 ","96068129 ","20240101","20241231"
"창원시 의창구","21","내구재","4462 ","5981563 ","20240101","20241231"
"창원시 의창구","21","레포츠/문화/취미","98280 ","1258606717 ","20240101","20241231"
"창원시 의창구","21","서비스","9301 ","64173715 ","20240101","20241231"
"창원시 의창구","21","식생활","586415 ","24208250103 ","20240101","20241231"
"창원시 의창구","21","여행","1707 ","161532557 ","20240101","20241231"
"창원시 의창구","21","유통","977553 ","11123052207 ","20240101","20241231"
"창원시 의창구","21","유흥","31213 ","1766694167 ","20240101","20241231"
"창원시 의창구","21","의료/미용","22892 ","848123304 ","20240101","20241231"
"창원시 의창구","21","의생활","41 ","3000685 ","20240101","20241231"
"창원시 의창구","21","자동차","94990 ","3639822015 ","20240101","20241231"
"창원시 의창구","22","교육","809 ","243647704 ","20240101","20241231"
"창원시 의창구","22","기타","2755 ","47245511 ","20240101","20241231"
"창원시 의창구","22","내구재","3215 ","3349280 ","20240101","20241231"
"창원시 의창구","22","레포츠/문화/취미","77066 ","647971693 ","20240101","20241231"
"창원시 의창구","22","서비스","7724 ","35169157 ","20240101","20241231"
"창원시 의창구","22","식생활","296546 ","12820271960 ","20240101","20241231"
"창원시 의창구","22","여행","1480 ","86285264 ","20240101","20241231"
"창원시 의창구","22","유통","661028 ","6441445785 ","20240101","20241231"
"창원시 의창구","22","유흥","34921 ","2719021151 ","20240101","20241231"
"창원시 의창구","22","의료/미용","5079 ","351533173 ","20240101","20241231"
"창원시 의창구","22","의생활","21 ","781357 ","20240101","20241231"
"창원시 의창구","22","자동차","40925 ","1650380075 ","20240101","20241231"
"창원시 의창구","23","교육","206 ","41151474 ","20240101","20241231"
"창원시 의창구","23","기타","212 ","1849280 ","20240101","20241231"
"창원시 의창구","23","내구재","2810 ","3727073 ","20240101","20241231"
