상권업종대분류명,상권업종중분류명,시군구명,행정동명,경도,위도
소매,종합 소매,창녕군,남지읍,128.473122636497,35.3872089286237
부동산,부동산 서비스,산청군,신안면,127.934249911626,35.3494970144617
음식,한식,의령군,용덕면,128.294317894561,35.3478807061466
음식,한식,하동군,화개면,127.645266094235,35.2899966364857
수리·개인,이용·미용,통영시,북신동,128.427050922779,34.854985226759
음식,한식,사천시,동서동,128.069769895999,34.9269662407978
음식,한식,남해군,상주면,127.987216866609,34.7234163427757
음식,기타 간이,통영시,광도면,128.420811648969,34.8800064511833
소매,식료품 소매,밀양시,내일동,128.753661056051,35.4932883793615
숙박,일반 숙박,산청군,생초면,127.816534334404,35.4852818562275
음식,기타 간이,통영시,북신동,128.42747650071,34.8574678387661
소매,철물·건설자재 소매,의령군,의령읍,128.26219449209,35.3186951651847
소매,섬유·의복·신발 소매,통영시,광도면,128.417893513297,34.8833122610974
시설관리·임대,산업용품 대여,밀양시,교동,128.768718097841,35.5105962517302
수리·개인,자동차 수리·세차,거창군,거창읍,127.919237755843,35.69690648253
수리·개인,욕탕·신체관리,고성군,고성읍,128.324832811701,34.975043003923
소매,종합 소매,사천시,동서동,128.063346608213,34.9295734213019
소매,종합 소매,남해군,상주면,127.985805487146,34.7213185495342
수리·개인,이용·미용,사천시,벌용동,128.083278906069,34.9397717209389
음식,한식,창녕군,이방면,128.382657220123,35.6005975514863
교육,기타 교육,거창군,거창읍,127.906735739812,35.6943967188683
과학·기술,본사·경영 컨설팅,밀양시,산내면,128.892387690287,35.599184578193
음식,주점,통영시,광도면,128.420883928671,34.8803931672897
음식,주점,산청군,신안면,127.969186633538,35.3023547360717
음식,한식,남해군,삼동면,128.002641252213,34.8307424384998
예술·스포츠,스포츠 서비스,함안군,가야읍,128.410393354341,35.2783845788059
교육,일반 교육,사천시,곤양면,127.962254475467,35.0578476791394
음식,한식,밀양시,내이동,128.747463336122,35.5001821676938
음식,한식,고성군,고성읍,128.327045001151,34.9757398876903
음식,기타 간이,통영시,중앙동,128.424620596978,34.8452976219927
소매,식료품 소매,밀양시,산내면,128.956186234117,35.5744028381395
수리·개인,이용·미용,거창군,거창읍,127.917140377436,35.6864500391816
소매,섬유·의복·신발 소매,함양군,함양읍,127.729283924835,35.5195938167251
음식,기타 간이,밀양시,교동,128.752876855922,35.5018248521242
소매,섬유·의복·신발 소매,밀양시,내일동,128.751266020343,35.4926022370449
수리·개인,기타 가정용품 수리,사천시,동서금동,128.079147644394,34.932723979792
