"시군구명","연월","분류","성별","연령대","매출건수(건)","매출합계(원)","집계시작일","집계종료일"
"거제시","202401","유흥","여성","70대이상","21","1850583","20240101","20241231"
"거제시","202401","의료/미용","남성","20대","19931","505420569","20240101","20241231"
"거제시","202401","의료/미용","남성","20대미만","411","5925168","20240101","20241231"
"거제시","202401","의료/미용","남성","30대","55154","1562720541","20240101","20241231"
"거제시","202401","의료/미용","남성","40대","114942","3927305127","20240101","20241231"
"거제시","202401","의료/미용","남성","50대","90528","3470722591","20240101","20241231"
"거제시","202401","의료/미용","남성","60대","55058","2011440637","20240101","20241231"
"거제시","202401","의료/미용","남성","70대이상","12618","383351206","20240101","20241231"
"거제시","202401","의료/미용","여성","20대","10925","328628842","20240101","20241231"
"거제시","202401","의료/미용","여성","20대미만","418","9167964","20240101","20241231"
"거제시","202401","의료/미용","여성","30대","39383","1123642467","20240101","20241231"
"거제시","202401","의료/미용","여성","40대","49520","1901668842","20240101","20241231"
"거제시","202401","의료/미용","여성","50대","38232","1577969650","20240101","20241231"
"거제시","202401","의료/미용","여성","60대","21947","802642461","20240101","20241231"
"거제시","202401","의료/미용","여성","70대이상","4339","242730953","20240101","20241231"
"거제시","202401","의생활","남성","20대","117","8717615","20240101","20241231"
"거제시","202401","의생활","남성","30대","281","33670322","20240101","20241231"
"거제시","202401","의생활","남성","40대","3242","450159013","20240101","20241231"
"거제시","202401","의생활","남성","50대","1206","144601782","20240101","20241231"
"거제시","202401","의생활","남성","60대","151","9203564","20240101","20241231"
"거제시","202401","의생활","남성","70대이상","110","2810144","20240101","20241231"
"거제시","202401","의생활","여성","20대","123","4638108","20240101","20241231"
"거제시","202401","의생활","여성","30대","391","38976696","20240101","20241231"
"거제시","202401","의생활","여성","40대","1816","213143934","20240101","20241231"
"거제시","202401","의생활","여성","50대","905","69897875","20240101","20241231"
"거제시","202401","의생활","여성","60대","569","59350925","20240101","20241231"
"거제시","202401","의생활","여성","70대이상","21","427690","20240101","20241231"
"거제시","202401","자동차","남성","20대","13105","370860384","20240101","20241231"
"거제시","202401","자동차","남성","20대미만","21","363263","20240101","20241231"
"거제시","202401","자동차","남성","30대","37252","1383971741","20240101","20241231"
"거제시","202401","자동차","남성","40대","71967","3002159712","20240101","20241231"
"거제시","202401","자동차","남성","50대","57327","2723877039","20240101","20241231"
"거제시","202401","자동차","남성","60대","27019","1363023125","20240101","20241231"
"거제시","202401","자동차","남성","70대이상","3619","163367594","20240101","20241231"
"거제시","202401","자동차","여성","20대","4777","118836820","20240101","20241231"
"거제시","202401","자동차","여성","30대","15463","450268005","20240101","20241231"
"거제시","202401","자동차","여성","40대","22879","762175099","20240101","20241231"
"거제시","202401","자동차","여성","50대","15408","650649116","20240101","20241231"
"거제시","202401","자동차","여성","60대","6059","262978458","20240101","20241231"
"거제시","202401","자동차","여성","70대이상","432","27683016","20240101","20241231"
"거제시","202401","주거생활","남성","20대","21","302262","20240101","20241231"
"거제시","202401","주거생활","남성","30대","480","12930089","20240101","20241231"
"거제시","202401","주거생활","남성","40대","1337","36665524","20240101","20241231"
"거제시","202401","주거생활","남성","50대","3180","146888074","20240101","20241231"
"거제시","202401","주거생활","남성","60대","1857","43025360","20240101","20241231"
"거제시","202401","주거생활","남성","70대이상","110","1220699","20240101","20241231"
"거제시","202401","주거생활","여성","30대","89","4852639","20240101","20241231"
"거제시","202401","주거생활","여성","40대","34","3925086","20240101","20241231"
"거제시","202401","주거생활","여성","50대","96","20575051","20240101","20241231"
"거제시","202401","주거생활","여성","60대","178","29645305","20240101","20241231"
"거창군","202401","교육","남성","30대","48","377862","20240101","20241231"
"거창군","202401","교육","남성","40대","336","24870665","20240101","20241231"
"거창군","202401","교육","남성","50대","158","19994722","20240101","20241231"
"거창군","202401","교육","남성","60대","41","341330","20240101","20241231"
"거창군","202401","교육","여성","20대","27","54832","20240101","20241231"
"거창군","202401","교육","여성","40대","446","30570322","20240101","20241231"
"거창군","202401","교육","여성","50대","21","2228992","20240101","20241231"
"거창군","202401","기타","남성","50대","21","4914325","20240101","20241231"
"거창군","202401","기타","여성","30대","507","85032474","20240101","20241231"
"거창군","202401","기타","여성","40대","75","18958191","20240101","20241231"
"거창군","202401","기타","여성","50대","21","241947","20240101","20241231"
"거창군","202401","기타","여성","60대","21","301576","20240101","20241231"
"거창군","202401","내구재","남성","20대","233","67443","20240101","20241231"
"거창군","202401","내구재","남성","40대","41","4095271","20240101","20241231"
"거창군","202401","내구재","남성","50대","41","12337","20240101","20241231"
"거창군","202401","내구재","여성","20대","164","69500","20240101","20241231"
"거창군","202401","내구재","여성","20대미만","82","25497","20240101","20241231"
"거창군","202401","내구재","여성","30대","206","892392","20240101","20241231"
"거창군","202401","내구재","여성","40대","151","30021","20240101","20241231"
"거창군","202401","내구재","여성","50대","48","2879","20240101","20241231"
"거창군","202401","레포츠/문화/취미","남성","20대","13187","62883482","20240101","20241231"
"거창군","202401","레포츠/문화/취미","남성","20대미만","2509","8583276","20240101","20241231"
"거창군","202401","레포츠/문화/취미","남성","30대","1741","8786840","20240101","20241231"
"거창군","202401","레포츠/문화/취미","남성","40대","918","21946539","20240101","20241231"
"거창군","202401","레포츠/문화/취미","남성","50대","802","46151474","20240101","20241231"
"거창군","202401","레포츠/문화/취미","남성","60대","123","9539411","20240101","20241231"
"거창군","202401","레포츠/문화/취미","남성","70대이상","21","1970528","20240101","20241231"
"거창군","202401","레포츠/문화/취미","여성","20대","377","2086361","20240101","20241231"
"거창군","202401","레포츠/문화/취미","여성","20대미만","164","479781","20240101","20241231"
"거창군","202401","레포츠/문화/취미","여성","30대","158","5051405","20240101","20241231"
"거창군","202401","레포츠/문화/취미","여성","40대","418","16107402","20240101","20241231"
"거창군","202401","레포츠/문화/취미","여성","50대","535","8479781","20240101","20241231"
"거창군","202401","레포츠/문화/취미","여성","60대","137","15325223","20240101","20241231"
"거창군","202401","레포츠/문화/취미","여성","70대이상","21","109664","20240101","20241231"
"거창군","202401","서비스","남성","20대","192","1382454","20240101","20241231"
"거창군","202401","서비스","남성","20대미만","21","178204","20240101","20241231"
"거창군","202401","서비스","남성","30대","89","554489","20240101","20241231"
"거창군","202401","서비스","남성","40대","55","379712","20240101","20241231"
"거창군","202401","서비스","남성","50대","82","5281014","20240101","20241231"
"거창군","202401","서비스","남성","60대","21","78821","20240101","20241231"
"거창군","202401","서비스","여성","30대","41","1065798","20240101","20241231"
"거창군","202401","서비스","여성","40대","69","3852639","20240101","20241231"
"거창군","202401","서비스","여성","50대","89","612748","20240101","20241231"
"거창군","202401","서비스","여성","60대","21","1192872","20240101","20241231"
"거창군","202401","식생활","남성","20대","27999","524791638","20240101","20241231"
"거창군","202401","식생활","남성","20대미만","877","9076765","20240101","20241231"
"거창군","202401","식생활","남성","30대","21343","481523852","20240101","20241231"
"거창군","202401","식생활","남성","40대","26950","735081995","20240101","20241231"
"거창군","202401","식생활","남성","50대","27416","800502550","20240101","20241231"
"거창군","202401","식생활","남성","60대","13132","390377738","20240101","20241231"
"거창군","202401","식생활","남성","70대이상","2296","87433379","20240101","20241231"
"거창군","202401","식생활","여성","20대","8204","115475805","20240101","20241231"
"거창군","202401","식생활","여성","20대미만","21","113091","20240101","20241231"
"거창군","202401","식생활","여성","30대","13852","273550994","20240101","20241231"
"거창군","202401","식생활","여성","40대","18430","443384407","20240101","20241231"
"거창군","202401","식생활","여성","50대","16676","374313968","20240101","20241231"
"거창군","202401","식생활","여성","60대","6498","180445922","20240101","20241231"
"거창군","202401","식생활","여성","70대이상","987","45189788","20240101","20241231"
"거창군","202401","여행","남성","20대","69","3187114","20240101","20241231"
"거창군","202401","여행","남성","20대미만","21","514051","20240101","20241231"
"거창군","202401","여행","남성","30대","21","891021","20240101","20241231"
"거창군","202401","여행","남성","40대","82","4866347","20240101","20241231"
"거창군","202401","여행","남성","50대","117","6572995","20240101","20241231"
"거창군","202401","여행","남성","60대","41","1144620","20240101","20241231"
"거창군","202401","여행","남성","70대이상","21","795065","20240101","20241231"
"거창군","202401","여행","여성","50대","27","1295408","20240101","20241231"
"거창군","202401","여행","여성","60대","21","891021","20240101","20241231"
"거창군","202401","유통","남성","20대","36148","281148047","20240101","20241231"
"거창군","202401","유통","남성","20대미만","3050","13980809","20240101","20241231"
"거창군","202401","유통","남성","30대","26710","337481151","20240101","20241231"
"거창군","202401","유통","남성","40대","31172","509227485","20240101","20241231"
"거창군","202401","유통","남성","50대","27471","534887663","20240101","20241231"
"거창군","202401","유통","남성","60대","13653","319657231","20240101","20241231"
"거창군","202401","유통","남성","70대이상","4023","116328444","20240101","20241231"
"거창군","202401","유통","여성","20대","6669","68389376","20240101","20241231"
"거창군","202401","유통","여성","20대미만","459","1717204","20240101","20241231"
"거창군","202401","유통","여성","30대","12536","203299520","20240101","20241231"
"거창군","202401","유통","여성","40대","21871","421744277","20240101","20241231"
"거창군","202401","유통","여성","50대","17800","423731117","20240101","20241231"
"거창군","202401","유통","여성","60대","9527","353442042","20240101","20241231"
"거창군","202401","유통","여성","70대이상","2378","79999794","20240101","20241231"
"거창군","202401","유흥","남성","50대","62","12755312","20240101","20241231"
"거창군","202401","유흥","남성","60대","48","10281014","20240101","20241231"
"거창군","202401","의료/미용","남성","20대","2646","51758465","20240101","20241231"
"거창군","202401","의료/미용","남성","30대","4750","95111035","20240101","20241231"
"거창군","202401","의료/미용","남성","40대","6587","143773955","20240101","20241231"
"거창군","202401","의료/미용","남성","50대","8197","202761618","20240101","20241231"
"거창군","202401","의료/미용","남성","60대","6552","169099040","20240101","20241231"
"거창군","202401","의료/미용","남성","70대이상","3098","91358533","20240101","20241231"
"거창군","202401","의료/미용","여성","20대","1247","33448595","20240101","20241231"
"거창군","202401","의료/미용","여성","30대","4455","141347224","20240101","20241231"
"거창군","202401","의료/미용","여성","40대","6943","194406785","20240101","20241231"
"거창군","202401","의료/미용","여성","50대","7800","283670596","20240101","20241231"
"거창군","202401","의료/미용","여성","60대","5024","180957025","20240101","20241231"
"거창군","202401","의료/미용","여성","70대이상","1796","85581905","20240101","20241231"
"거창군","202401","의생활","남성","20대","21","1761480","20240101","20241231"
"거창군","202401","의생활","여성","30대","21","752570","20240101","20241231"
"거창군","202401","의생활","여성","50대","69","10167238","20240101","20241231"
"거창군","202401","의생활","여성","60대","117","13180946","20240101","20241231"
"거창군","202401","자동차","남성","20대","3167","111241679","20240101","20241231"
"거창군","202401","자동차","남성","30대","3653","194146690","20240101","20241231"
"거창군","202401","자동차","남성","40대","5291","283442536","20240101","20241231"
"거창군","202401","자동차","남성","50대","6916","478122522","20240101","20241231"
"거창군","202401","자동차","남성","60대","3859","253671371","20240101","20241231"
"거창군","202401","자동차","남성","70대이상","1035","70179452","20240101","20241231"
"거창군","202401","자동차","여성","20대","411","14881700","20240101","20241231"
"거창군","202401","자동차","여성","30대","1953","94314208","20240101","20241231"
"거창군","202401","자동차","여성","40대","2899","187518903","20240101","20241231"
"거창군","202401","자동차","여성","50대","2961","156386923","20240101","20241231"
"거창군","202401","자동차","여성","60대","1275","78901563","20240101","20241231"
"거창군","202401","자동차","여성","70대이상","164","11000178","20240101","20241231"
"거창군","202401","주거생활","남성","20대","206","3125428","20240101","20241231"
"거창군","202401","주거생활","남성","30대","164","2001645","20240101","20241231"
"거창군","202401","주거생활","남성","40대","69","1256340","20240101","20241231"
"거창군","202401","주거생활","남성","50대","110","5455792","20240101","20241231"
"거창군","202401","주거생활","남성","60대","260","13377519","20240101","20241231"
"거창군","202401","주거생활","여성","40대","62","685401","20240101","20241231"
"거창군","202401","주거생활","여성","70대이상","21","123372","20240101","20241231"
"고성군","202401","교육","남성","30대","21","63057","20240101","20241231"
"고성군","202401","교육","남성","40대","178","3328992","20240101","20241231"
"고성군","202401","교육","남성","50대","41","657300","20240101","20241231"
"고성군","202401","교육","여성","30대","96","725154","20240101","20241231"
"고성군","202401","교육","여성","40대","55","1382454","20240101","20241231"
"고성군","202401","교육","여성","50대","21","45922","20240101","20241231"
"고성군","202401","기타","남성","30대","21","8149417","20240101","20241231"
"고성군","202401","기타","남성","50대","21","486635","20240101","20241231"
